2.2	DOC3	XXX	它	个性	1
2.2	DOC332	XXX	蒙迪欧2.5V6旗舰型	NULL	1
2.2	DOC332	XXX	日系车	NULL	-1
2.2	DOC339	XXX	NULL	后排空间	1
2.2	DOC339	XXX	雅力士	后排空间	-1
2.2	DOC377	XXX	NULL	外观	0
2.2	DOC377	XXX	国产的	外观	0
2.2	DOC404	XXX	307	悬挂	1
2.2	DOC404	XXX	宝来	悬挂	-1
2.2	DOC404	XXX	福克斯	悬挂	1
2.2	DOC404	XXX	宝来	悬挂	-1
2.2	DOC404	XXX	307	底盘	1
2.2	DOC404	XXX	宝来	底盘	-1
2.2	DOC404	XXX	福克斯	底盘	1
2.2	DOC404	XXX	宝来	底盘	-1
2.2	DOC409	XXX	赛马	空间	1
2.2	DOC409	XXX	飞度2厢	空间	-1
2.2	DOC409	XXX	赛马	轮胎	1
2.2	DOC409	XXX	飞度2厢	轮胎	-1
2.2	DOC409	XXX	赛马	钢板	1
2.2	DOC409	XXX	飞度2厢	钢板	-1
2.2	DOC409	XXX	赛马	重量	1
2.2	DOC409	XXX	飞度2厢	重量	-1
2.2	DOC409	XXX	赛马	价格	1
2.2	DOC409	XXX	飞度2厢	价格	-1
2.2	DOC409	XXX	赛马	配件	1
2.2	DOC409	XXX	飞度2厢	配件	-1
2.2	DOC409	XXX	赛马	营销	1
2.2	DOC409	XXX	飞度2厢	营销	-1
2.2	DOC414	XXX	手动档蒙迪欧	优惠的幅度	-1
2.2	DOC414	XXX	自动型	优惠的幅度	1
2.2	DOC459	XXX	低转速高扭距的发动机	发动机	-1
2.2	DOC459	XXX	老式的高转速高扭距	发动机	1
2.2	DOC464	XXX	4缸发动机	肃静性	0
2.2	DOC464	XXX	6缸发动机	肃静性	0
2.2	DOC474	XXX	PST2.0	起步	1
2.2	DOC474	XXX	1.8	起步	-1
2.2	DOC483	XXX	2.0	NULL	1
2.2	DOC483	XXX	2.3	NULL	-1
2.2	DOC483	XXX	2.0	外壳	0
2.2	DOC483	XXX	2.3	外壳	0
2.2	DOC483	XXX	2.0	配置	0
2.2	DOC483	XXX	2.3	配置	0
2.2	DOC483	XXX	2.0	价钱	1
2.2	DOC483	XXX	2.3	价钱	-1
2.2	DOC486	XXX	NULL	仪表盘	1
2.2	DOC486	XXX	老款	仪表盘	-1
2.2	DOC491	XXX	NULL	内饰	-1
2.2	DOC491	XXX	马6等中高档车	内饰	1
2.2	DOC499	XXX	爱里社	配置	1
2.2	DOC499	XXX	捷大	配置	-1
2.2	DOC504	XXX	花冠	NULL	-1
2.2	DOC504	XXX	伊兰特	NULL	1
2.2	DOC505	XXX	NULL	性价比	1
2.2	DOC505	XXX	飞度	性价比	-1
2.2	DOC507	XXX	单缸四气门	进气量	1
2.2	DOC507	XXX	单缸两气门	进气量	-1
2.2	DOC515	XXX	NULL	方向	1
2.2	DOC515	XXX	猫猫	方向	-1
2.2	DOC516	XXX	爱腾	柴油SUV的性能	0
2.2	DOC516	XXX	特拉卡	柴油SUV的性能	0
2.2	DOC516	XXX	爱腾	NULL	0
2.2	DOC516	XXX	特拉卡	NULL	0
2.2	DOC524	XXX	NULL	后排减震	0
2.2	DOC524	XXX	炫丽	后排减震	0
2.2	DOC537	XXX	夏利	发动机	1
2.2	DOC537	XXX	吉利	发动机	-1
2.2	DOC563	XXX	它	燃油经济性	1
2.2	DOC563	XXX	2.4L发动机	燃油经济性	-1
2.2	DOC583	XXX	前脸	设计	0
2.2	DOC583	XXX	大众家族脸谱	设计	0
2.2	DOC587	XXX	NULL	车型	0
2.2	DOC587	XXX	5座	车型	0
2.2	DOC590	XXX	柴油的	NULL	1
2.2	DOC590	XXX	汽油的捷达	NULL	-1
2.2	DOC600	XXX	POLO	后期保养	-1
2.2	DOC600	XXX	帕萨特	后期保养	-1
2.2	DOC628	XXX	H6	各方面	1
2.2	DOC628	XXX	CRV	各方面	-1
2.2	DOC629	XXX	V6发动机	输出功率	1
2.2	DOC629	XXX	上代产品	输出功率	-1
2.2	DOC630	XXX	NULL	做工，外观	1
2.2	DOC630	XXX	它们	做工，外观	-1
2.2	DOC642	XXX	日系	NULL	1
2.2	DOC652	XXX	路宝	档位	1
2.2	DOC652	XXX	飞度	档位	-1
2.2	DOC653	XXX	NULL	NULL	1
2.2	DOC653	XXX	别的车	NULL	-1
2.2	DOC654	XXX	8A	发动机	1
2.2	DOC654	XXX	夏利7131	性价比	1
2.2	DOC655	XXX	捷达	空间	-1
2.2	DOC655	XXX	同等级车	空间	1
2.2	DOC662	XXX	NULL	细节处理	-1
2.2	DOC662	XXX	原装车	细节处理	1
2.2	DOC662	XXX	NULL	用料	-1
2.2	DOC662	XXX	原装车	用料	1
2.2	DOC669	XXX	速腾	NULL	-1
2.2	DOC669	XXX	凯旋	NULL	1
2.2	DOC669	XXX	速腾	价格	-1
2.2	DOC669	XXX	凯旋	价格	1
2.2	DOC673	XXX	速腾	稳定性,加速,隔音等	1
2.2	DOC673	XXX	CROSS	稳定性,加速,隔音等	-1
2.2	DOC678	XXX	NULL	配置	-1
2.2	DOC678	XXX	A6	配置	1
2.2	DOC678	XXX	NULL	稳定性	-1
2.2	DOC678	XXX	A6	稳定性	1
2.2	DOC683	XXX	新宝来	审美	-1
2.2	DOC683	XXX	朗逸	审美	1
2.2	DOC718	XXX	这个车	内饰	-1
2.2	DOC718	XXX	现在的车	内饰	1
2.2	DOC718	XXX	这个车	做工	-1
2.2	DOC718	XXX	现在的车	做工	1
2.2	DOC738	XXX	M6	档次	0
2.2	DOC738	XXX	广本2.0	档次	0
2.2	DOC739	XXX	朗逸1.6自动品雅版	NULL	0
2.2	DOC739	XXX	新宝来	NULL	0
2.2	DOC752	XXX	NULL	动力	1
2.2	DOC752	XXX	其他SUV	动力	-1
2.2	DOC752	XXX	NULL	底盘	1
2.2	DOC752	XXX	其他SUV	底盘	-1
2.2	DOC760	XXX	奇瑞A21	NULL	1
2.2	DOC760	XXX	伊兰特	NULL	-1
2.2	DOC766	XXX	现在的JD	质量	-1
2.2	DOC766	XXX	原装JD	质量	1
2.2	DOC768	XXX	哈飞赛豹的座椅	调控范围	1
2.2	DOC768	XXX	以往见过的座椅	调控范围	-1
2.2	DOC780	XXX	老赛欧	噪音	1
2.2	DOC780	XXX	新赛欧	噪音	-1
2.2	DOC780	XXX	羚羊	噪音	1
2.2	DOC780	XXX	新赛欧	噪音	-1
2.2	DOC780	XXX	千里马	噪音	1
2.2	DOC780	XXX	新赛欧	噪音	-1
2.2	DOC794	XXX	Gix	动力	-1
2.2	DOC794	XXX	富康1.4	动力	1
2.2	DOC797	XXX	福美来	出道的时间	1
2.2	DOC797	XXX	凯越、伊兰特	出道的时间	-1
2.2	DOC814	XXX	中国汽车	价格	-1
2.2	DOC814	XXX	国外同一产品	价格	1
2.2	DOC814	XXX	中国汽车	保有成本	1
2.2	DOC814	XXX	国外同一产品	保有成本	-1
2.2	DOC817	XXX	凯越	NULL	-1
2.2	DOC817	XXX	福美来	NULL	1
2.2	DOC826	XXX	2.7	价	0
2.2	DOC826	XXX	圣达菲	价	0
2.2	DOC847	XXX	NULL	性价比	1
2.2	DOC847	XXX	b5	性价比	-1
2.2	DOC848	XXX	NULL	噪音	-1
2.2	DOC848	XXX	老广本	噪音	-1
2.2	DOC848	XXX	NULL	噪音	-1
2.2	DOC848	XXX	别克	噪音	1
2.2	DOC857	XXX	吉利自由舰1.3	做工	-1
2.2	DOC857	XXX	雨燕	做工	1
2.2	DOC860	XXX	宝来	乘坐舒适性	1
2.2	DOC860	XXX	思域	乘坐舒适性	-1
2.2	DOC869	XXX	华利厂子	NULL	-1
2.2	DOC869	XXX	夏利厂子	NULL	1
2.2	DOC904	XXX	3系li	NULL	1
2.2	DOC904	XXX	5系LI	NULL	-1
2.2	DOC904	XXX	3系li	NULL	1
2.2	DOC904	XXX	A4L，cvt	NULL	-1
2.2	DOC923	XXX	捷达都市春天	价位	0
2.2	DOC923	XXX	爱丽舍X	价位	0
2.2	DOC923	XXX	爱丽舍	外型、内饰、配置等	1
2.2	DOC923	XXX	捷达都市春天	外型、内饰、配置等	-1
2.2	DOC958	XXX	NULL	车内空间	1
2.2	DOC958	XXX	Vitz	车内空间	-1
2.2	DOC958	XXX	NULL	储存空间	1
2.2	DOC958	XXX	Vitz	储存空间	-1
2.2	DOC963	XXX	德国车	小毛病	-1
2.2	DOC963	XXX	小日本的车	小毛病	1
2.2	DOC984	XXX	途安	NULL	1
2.2	DOC984	XXX	你	NULL	-1
2.2	DOC992	XXX	307	销售	1
2.2	DOC992	XXX	速腾	销售	-1
2.2	DOC992	XXX	307	销售	1
2.2	DOC992	XXX	宝来	销售	-1
2.2	DOC992	XXX	一汽	销售	-1
2.2	DOC992	XXX	二汽（东风）	销售	1
2.2	DOC1007	XXX	悦动	打火的声音	1
2.2	DOC1007	XXX	面包车	打火的声音	-1
2.2	DOC1023	XXX	这车	结构	1
2.2	DOC1023	XXX	比亚迪	结构	-1
2.2	DOC1033	XXX	奇瑞	NULL	1
2.2	DOC1033	XXX	奇瑞	动力	0
2.2	DOC1033	XXX	街大	动力	0
2.2	DOC1036	XXX	SAIL	驾驶乐趣	1
2.2	DOC1036	XXX	富康	驾驶乐趣	-1
2.2	DOC1038	XXX	B70	空间	1
2.2	DOC1038	XXX	kls	空间	-1
2.2	DOC1046	XXX	NULL	尾灯	-1
2.2	DOC1046	XXX	B70	尾灯	1
2.2	DOC1074	XXX	福美来	整体性能	0
2.2	DOC1074	XXX	对手	整体性能	0
2.2	DOC1076	XXX	307	价格	0
2.2	DOC1076	XXX	FKS	价格	0
2.2	DOC1076	XXX	307	发动机动力	1
2.2	DOC1076	XXX	FKS	发动机动力	-1
2.2	DOC1076	XXX	307	空间	1
2.2	DOC1076	XXX	FKS	空间	-1
2.2	DOC1080	XXX	1.6的手自一体	车门	1
2.2	DOC1080	XXX	速腾	车门	1
2.2	DOC1080	XXX	1.6的手自一体	用料	0
2.2	DOC1080	XXX	速腾	用料	0
2.2	DOC1080	XXX	1.6的手自一体	做工	1
2.2	DOC1080	XXX	速腾	做工	-1
2.2	DOC1081	XXX	飞度	NULL	-1
2.2	DOC1081	XXX	雨谚	NULL	1
2.2	DOC1097	XXX	现代车	质量	1
2.2	DOC1097	XXX	欧美	质量	-1
2.2	DOC1152	XXX	夏利	做工	1
2.2	DOC1152	XXX	吉利	做工	-1
2.2	DOC1161	XXX	其	工艺	-1
2.2	DOC1161	XXX	X3	工艺	1
2.2	DOC1161	XXX	其	工艺	-1
2.2	DOC1161	XXX	宝马318	工艺	1
2.2	DOC1171	XXX	NULL	刹车	1
2.2	DOC1171	XXX	捷达	刹车	-1
2.2	DOC1171	XXX	NULL	档位	-1
2.2	DOC1171	XXX	A6	档位	1
2.2	DOC1171	XXX	NULL	车灯	1
2.2	DOC1171	XXX	A6	车灯	-1
2.2	DOC1191	XXX	车	总体感觉	1
2.2	DOC1191	XXX	老雪铁龙爱丽舍	总体感觉	-1
2.2	DOC1209	XXX	这车子	底盘	1
2.2	DOC1209	XXX	一般的同级车	底盘	-1
2.2	DOC1210	XXX	NULL	提速	1
2.2	DOC1210	XXX	本田	提速	-1
2.2	DOC1216	XXX	2.4旗舰版	DVD	-1
2.2	DOC1216	XXX	老君越的剧院版	DVD	1
2.2	DOC1217	XXX	NULL	安全性能	1
2.2	DOC1217	XXX	皇冠	安全性能	-1
2.2	DOC1242	XXX	988	NULL	0
2.2	DOC1242	XXX	捷达、普桑、风云、千里马	NULL	0
2.2	DOC1242	XXX	富康988	NULL	-1
2.2	DOC1242	XXX	XL2000	NULL	1
2.2	DOC1260	XXX	索纳塔	价格	0
2.2	DOC1260	XXX	本田雅阁、大众帕萨特	价格	0
2.2	DOC1260	XXX	索纳塔	性能	0
2.2	DOC1260	XXX	本田雅阁、大众帕萨特	性能	0
2.2	DOC1260	XXX	索纳塔	价格	1
2.2	DOC1260	XXX	本田雅阁、大众帕萨特	价格	-1
2.2	DOC1272	XXX	04款宝来	发动机	-1
2.2	DOC1272	XXX	上款	发动机	1
2.2	DOC1287	XXX	NULL	引擎	-1
2.2	DOC1287	XXX	奔驰宝马	引擎	1
2.2	DOC1287	XXX	NULL	引擎	0
2.2	DOC1287	XXX	奔宝	引擎	0
2.2	DOC1294	XXX	NULL	NULL	0
2.2	DOC1294	XXX	A5	NULL	0
2.2	DOC1304	XXX	华普303	内饰	-1
2.2	DOC1304	XXX	奇瑞、新N3	内饰	1
2.2	DOC1309	XXX	NULL	NULL	1
2.2	DOC1309	XXX	索八强	NULL	-1
2.2	DOC1333	XXX	速腾	安全带	1
2.2	DOC1333	XXX	320	安全带	-1
2.2	DOC1347	XXX	国产车	噪音	1
2.2	DOC1347	XXX	进口车	噪音	-1
2.2	DOC1348	XXX	索纳塔八代	质量	1
2.2	DOC1348	XXX	雅阁	质量	-1
2.2	DOC1350	XXX	新飞度	NULL	1
2.2	DOC1350	XXX	旧飞度	NULL	-1
2.2	DOC1351	XXX	凯越	自重	1
2.2	DOC1363	XXX	NULL	密封条	1
2.2	DOC1363	XXX	二代	密封条	-1
2.2	DOC1385	XXX	这个车	NULL	1
2.2	DOC1385	XXX	同等价位的车	NULL	-1
2.2	DOC1397	XXX	其	品质	0
2.2	DOC1397	XXX	二B	品质	0
2.2	DOC1439	XXX	NULL	容积	1
2.2	DOC1439	XXX	SUV	容积	-1
2.2	DOC1471	XXX	bora	刹车	-1
2.2	DOC1471	XXX	风神1	刹车	1
2.2	DOC1476	XXX	这一款	NULL	-1
2.2	DOC1476	XXX	经典款	NULL	1
2.2	DOC1482	XXX	2.4	噪音，做工	1
2.2	DOC1482	XXX	F3R	噪音，做工	-1
2.2	DOC1489	XXX	NULL	发动机噪音控制	1
2.2	DOC1489	XXX	天籁	发动机噪音控制	1
2.2	DOC1492	XXX	NULL	内饰	-1
2.2	DOC1492	XXX	迈瑞宝	内饰	1
2.2	DOC1504	XXX	凯美瑞	安全性	-1
2.2	DOC1504	XXX	雅阁	安全性	1
2.2	DOC1504	XXX	凯美瑞	起步	-1
2.2	DOC1504	XXX	雅阁	起步	1
2.2	DOC1526	XXX	凯越	发动机	0
2.2	DOC1526	XXX	赛欧	发动机	0
2.2	DOC1534	XXX	2.0排量	功率	1
2.2	DOC1534	XXX	中华2.4	功率	-1
2.2	DOC1553	XXX	NULL	制冷系统	1
2.2	DOC1553	XXX	一般的同级车	制冷系统	-1
2.2	DOC1588	XXX	飞度	外型	-1
2.2	DOC1588	XXX	夏利2000	外型	1
2.2	DOC1590	XXX	NULL	销量	1
2.2	DOC1590	XXX	老款车型	销量	1
2.2	DOC1599	XXX	XC902.5T	NULL	1
2.2	DOC1599	XXX	同排量自然吸气发动机	NULL	-1
2.2	DOC1601	XXX	新车	样式	1
2.2	DOC1601	XXX	捷达	样式	-1
2.2	DOC1612	XXX	广州本田雅阁	品质	1
2.2	DOC1612	XXX	其他的国产车	品质	-1
2.2	DOC1645	XXX	帝豪	NULL	1
2.2	DOC1645	XXX	B50	NULL	-1
2.2	DOC1658	XXX	东日天籁	销量	-1
2.2	DOC1658	XXX	两田	销量	1
2.2	DOC1666	XXX	YLT	车重	1
2.2	DOC1666	XXX	其它同类车	车重	-1
2.2	DOC1668	XXX	狮跑	NULL	1
2.2	DOC1674	XXX	欧美日本	通信技术	1
2.2	DOC1674	XXX	NULL	通信技术	-1
2.2	DOC1681	XXX	新天籁	油耗	1
2.2	DOC1681	XXX	上一代	油耗	-1
2.2	DOC1684	XXX	自排的	起步	1
2.2	DOC1684	XXX	2.0	起步	-1
2.2	DOC1685	XXX	华泰圣达非	外壳	0
2.2	DOC1685	XXX	进口圣达非比	外壳	0
2.2	DOC1685	XXX	华泰圣达非	配置	-1
2.2	DOC1685	XXX	进口圣达非比	配置	1
2.2	DOC1685	XXX	华泰圣达非	价钱	-1
2.2	DOC1685	XXX	进口圣达非比	价钱	1
2.2	DOC1686	XXX	YLT	口碑	1
2.2	DOC1686	XXX	它	口碑	-1
2.2	DOC1692	XXX	本田2.4	NULL	-1
2.2	DOC1692	XXX	蒙迪欧V6/君威V6/天籁230JK	NULL	1
2.2	DOC1702	XXX	FD	内饰	1
2.2	DOC1702	XXX	KY	内饰	-1
2.2	DOC1702	XXX	FD	提速	1
2.2	DOC1702	XXX	KY	提速	-1
2.2	DOC1702	XXX	FD	隔音	0
2.2	DOC1702	XXX	KY	隔音	0
2.2	DOC1702	XXX	FD	油耗	1
2.2	DOC1702	XXX	KY	油耗	-1
2.2	DOC1710	XXX	雨燕的发动机	升功率	1
2.2	DOC1719	XXX	红旗	NULL	-1
2.2	DOC1719	XXX	奇瑞	NULL	1
2.2	DOC1726	XXX	NULL	综合性	-1
2.2	DOC1726	XXX	蒙地欧	综合性	1
2.2	DOC1738	XXX	马5	定位	0
2.2	DOC1738	XXX	丰田的wish	定位	0
2.2	DOC1738	XXX	马5	外观	0
2.2	DOC1738	XXX	丰田的wish	外观	0
2.2	DOC1761	XXX	颐达	设计	1
2.2	DOC1761	XXX	日系紧凑型车	设计	-1
2.2	DOC1774	XXX	菲亚特派朗	NULL	1
2.2	DOC1800	XXX	君越	NULL	-1
2.2	DOC1800	XXX	日系车	NULL	1
2.2	DOC1822	XXX	我的君威	驾驶的感觉	0
2.2	DOC1822	XXX	朋友的君越	驾驶的感觉	0
2.2	DOC1842	XXX	逍客	通过性	1
2.2	DOC1842	XXX	CRV	通过性	-1
2.2	DOC1864	XXX	5AT	做功	-1
2.2	DOC1864	XXX	飞度	做功	1
2.2	DOC1875	XXX	YLT	NULL	1
2.2	DOC1875	XXX	凯越	NULL	-1
2.2	DOC1875	XXX	YLT	配件	1
2.2	DOC1875	XXX	凯越	配件	-1
2.2	DOC1886	XXX	POLO	保养价格	-1
2.2	DOC1886	XXX	帕沙特	保养价格	-1
2.2	DOC1890	XXX	棒子车	NULL	1
2.2	DOC1890	XXX	小日本的车	NULL	-1
2.2	DOC1891	XXX	小飞	发动机	1
2.2	DOC1891	XXX	我家那两	发动机	-1
2.2	DOC1891	XXX	小飞	动力	1
2.2	DOC1891	XXX	0.8	动力	-1
2.2	DOC1891	XXX	小飞	动力	-1
2.2	DOC1891	XXX	2.0	动力	1
2.2	DOC1892	XXX	新飞度	NULL	0
2.2	DOC1892	XXX	标准A级车	NULL	0
2.2	DOC1893	XXX	BJS	安全设备	1
2.2	DOC1893	XXX	TA	安全设备	1
2.2	DOC1924	XXX	大众途安MPV	NULL	1
2.2	DOC1924	XXX	马自大MPV	NULL	-1
2.2	DOC1939	XXX	福美来	价格	1
2.2	DOC1940	XXX	NULL	性能	1
2.2	DOC1940	XXX	一代迅驰	性能	-1
2.2	DOC1942	XXX	这款车	空间	1
2.2	DOC1942	XXX	同类车	空间	-1
2.2	DOC1945	XXX	石桥	NULL	1
2.2	DOC1945	XXX	马吉斯	NULL	-1
2.2	DOC1955	XXX	GOLF	NULL	1
2.2	DOC1955	XXX	宝来	NULL	-1
2.2	DOC1982	XXX	远舰	动力性能	0
2.2	DOC1982	XXX	索纳塔	动力性能	0
2.2	DOC1994	XXX	新A4	外形	1
2.2	DOC1994	XXX	宝马3	外形	-1
2.2	DOC2015	XXX	NULL	方向盘	0
2.2	DOC2015	XXX	科鲁兹	方向盘	0
2.2	DOC2015	XXX	NULL	多功能按钮	0
2.2	DOC2015	XXX	科鲁兹	多功能按钮	0
2.2	DOC2018	XXX	它	NULL	-1
2.2	DOC2018	XXX	其他车型	NULL	1
2.2	DOC2020	XXX	宝马	科技	-1
2.2	DOC2020	XXX	奥迪	科技	1
2.2	DOC2023	XXX	标志的207	挡位	0
2.2	DOC2023	XXX	晶锐	挡位	0
2.2	DOC2024	XXX	帕萨特１．８Ｔ	NULL	-1
2.2	DOC2024	XXX	君威	NULL	1
2.2	DOC2050	XXX	NULL	NULL	-1
2.2	DOC2050	XXX	北斗星、QQ	NULL	1
2.2	DOC2055	XXX	NULL	设计	1
2.2	DOC2055	XXX	花冠	设计	-1
2.2	DOC2062	XXX	NULL	头	-1
2.2	DOC2062	XXX	菱帅	头	1
2.2	DOC2062	XXX	NULL	尾	-1
2.2	DOC2062	XXX	菱帅	尾	1
2.2	DOC2064	XXX	它	NULL	1
2.2	DOC2064	XXX	凯美瑞	NULL	-1
2.2	DOC2074	XXX	凯越	油耗	-1
2.2	DOC2074	XXX	同级车	油耗	1
2.2	DOC2081	XXX	捷达	性价比	1
2.2	DOC2084	XXX	FKAX	性能	0
2.2	DOC2084	XXX	JDGIX	性能	0
2.2	DOC2084	XXX	FKAX	价格	0
2.2	DOC2084	XXX	JDGIX	价格	0
2.2	DOC2087	XXX	NULL	排挡	-1
2.2	DOC2087	XXX	高尔夫	排挡	1
2.2	DOC2092	XXX	NULL	安全性	1
2.2	DOC2092	XXX	雨燕	安全性	-1
2.2	DOC2092	XXX	NULL	油耗	0
2.2	DOC2092	XXX	别的车	油耗	0
2.2	DOC2109	XXX	欧系车	NULL	1
2.2	DOC2109	XXX	日系	NULL	-1
2.2	DOC2116	XXX	致胜、君越	NULL	-1
2.2	DOC2116	XXX	迈腾	NULL	1
2.2	DOC2122	XXX	新车	味道	1
2.2	DOC2122	XXX	YG7	味道	-1
2.2	DOC2129	XXX	特拉卡	外形	0
2.2	DOC2129	XXX	切诺基	外形	0
2.2	DOC2131	XXX	NULL	车身宽度	0
2.2	DOC2131	XXX	其他车	车身宽度	0
2.2	DOC2132	XXX	NULL	喇叭声音	-1
2.2	DOC2132	XXX	一般的车	喇叭声音	1
2.2	DOC2133	XXX	207三厢	过渡线条	1
2.2	DOC2133	XXX	307三厢	过渡线条	-1
2.2	DOC2134	XXX	天籁	侧身线条	1
2.2	DOC2134	XXX	PST	侧身线条	1
2.2	DOC2136	XXX	BYD	服务	1
2.2	DOC2136	XXX	标致	服务	-1
2.2	DOC2139	XXX	该车	油耗	1
2.2	DOC2144	XXX	爱丽舍	地盘	1
2.2	DOC2144	XXX	捷达	地盘	-1
2.2	DOC2144	XXX	富康	地盘	1
2.2	DOC2144	XXX	捷达	地盘	-1
2.2	DOC2144	XXX	爱丽舍	悬挂系统	1
2.2	DOC2144	XXX	捷达	悬挂系统	-1
2.2	DOC2144	XXX	富康	悬挂系统	1
2.2	DOC2144	XXX	捷达	悬挂系统	-1
2.2	DOC2153	XXX	06款	NULL	1
2.2	DOC2153	XXX	新款	外观	-1
2.2	DOC2153	XXX	老款	外观	1
2.2	DOC2167	XXX	夏利	高速转弯顷斜感	-1
2.2	DOC2167	XXX	TT	高速转弯顷斜感	1
2.2	DOC2175	XXX	POLO	性价比	1
2.2	DOC2175	XXX	05年的雅阁	性价比	-1
2.2	DOC2187	XXX	这	NULL	1
2.2	DOC2187	XXX	GL8、大捷龙	NULL	-1
2.2	DOC2194	XXX	锐志	发动机、底盘	1
2.2	DOC2194	XXX	锐志	波箱	1
2.2	DOC2206	XXX	P1.8T新版	NULL	-1
2.2	DOC2206	XXX	GB2.4	NULL	1
2.2	DOC2211	XXX	索8	NULL	1
2.2	DOC2211	XXX	老款的现代车	NULL	-1
2.2	DOC2211	XXX	索8	NULL	-1
2.2	DOC2211	XXX	欧系	NULL	1
2.2	DOC2217	XXX	M6	级别	1
2.2	DOC2217	XXX	HG	级别	-1
2.2	DOC2218	XXX	NULL	功率	-1
2.2	DOC2218	XXX	中华	功率	1
2.2	DOC2225	XXX	丰田车	性价比	1
2.2	DOC2225	XXX	大众	性价比	-1
2.2	DOC2231	XXX	君威RegalGL2.5豪华版AT	性能参数	0
2.2	DOC2231	XXX	君威RegalG2.0豪华版MT	性能参数	0
2.2	DOC2238	XXX	前排座椅	功能	1
2.2	DOC2238	XXX	一般座椅	功能	-1
2.2	DOC2241	XXX	新宝来	NULL	1
2.2	DOC2241	XXX	老款宝来	NULL	-1
2.2	DOC2247	XXX	新天籁	size	0
2.2	DOC2247	XXX	Benz	size	0
2.2	DOC2251	XXX	第二部车	操控性	1
2.2	DOC2251	XXX	第一步车	操控性	-1
2.2	DOC2252	XXX	JD	车身	-1
2.2	DOC2252	XXX	FK	车身	1
2.2	DOC2254	XXX	日系车	安全性	-1
2.2	DOC2254	XXX	美系车	安全性	1
